HourId,Month,Day,Week day,Hour,Dry-Bulb Temp (°C),Heating Load (kW),Chiller Output (kW),Chiller Input (kW),Total Building Electric [kW],Precool Coil Load (kW),Preheat Coil Load (kW),Terminal Cooling Coil Load (kW),Terminal Heating Coil Load (kW),Ventilation Fan (kW),Exhaust Fan (kW),Terminal Fan (kW),Vent. Reclaim Device (kW),Lighting (kW),Electric Equipment (kW)
1,1,1,7,0,-4.3,220,0,0,55.2,0,0,0,222.5,0,0,3.1,0,15.3,27.6
2,1,1,7,1,-4.1,220,0,0,55.2,0,0,0,224.1,0,0,3.2,0,15.3,27.6
3,1,1,7,2,-4,230,0,0,55.3,0,0,0,225.4,0,0,3.2,0,15.3,27.6
4,1,1,7,3,-3.8,230,0,0,55.3,0,0,0,225.6,0,0,3.2,0,15.3,27.6
5,1,1,7,4,-3.5,230,0,0,55.3,0,0,0,225.1,0,0,3.2,0,15.3,27.6
6,1,1,7,5,-3.3,220,0,0,55.2,0,0,0,224.8,0,0,3.2,0,15.3,27.6
7,1,1,7,6,-3,220,0,0,55.2,0,0,0,222.9,0,0,3.2,0,15.3,27.6
8,1,1,7,7,-2.9,220,0,0,55.2,0,0,0,223.2,0,0,3.2,0,15.3,27.6
9,1,1,7,8,-2.8,220,0,0,55.4,0,0,0,217.4,0,0,3.1,0,15.8,28.5
10,1,1,7,9,-2.7,210,0,0,54.1,0,0,0,212.1,0,0,3,0,15.8,28.5
11,1,1,7,10,-2.2,200,0,0,66.5,0,0,0,199,0,0,3,0.1,19.1,34.5
12,1,1,7,11,-1.8,200,0,0,66.5,0,0,0,196.2,0,0,2.8,0.1,19.1,34.5
13,1,1,7,12,-1.3,210,0,0,1004.5,0,0,0,209,0,0,3.1,0.1,21.3,38.6
14,1,1,7,13,-1,210,0,0,274.5,0,0,0,213.1,0,0,3.1,0.1,21.3,38.6
15,1,1,7,14,-0.7,220,0,0,76.5,0,0,0,219.2,0,0,3.1,0.1,21.3,38.6
16,1,1,7,15,-0.4,220,0,0,384.3,0,0,0,222.2,0,0,3.2,0.1,21.3,38.6
17,1,1,7,16,-0.4,230,0,0,79.7,0,0,0,226.8,0,0,3.3,0.1,21.3,38.6
18,1,1,7,17,-0.3,230,0,0,72.9,0,0,0,232.6,0,0,3.5,0.1,19.1,34.5
19,1,1,7,18,-0.3,240,0,0,62.1,0,0,0,240.3,0,0,3.5,0,16.9,30.5
20,1,1,7,19,0.2,240,0,0,55.5,0,0,0,239.8,0,0,3.5,0,15.3,27.6
21,1,1,7,20,0.6,240,0,0,55.4,0,0,0,238.4,0,0,3.5,0,15.3,27.6
22,1,1,7,21,1.1,240,0,0,55.4,0,0,0,235.2,0,0,3.5,0,15.3,27.6
23,1,1,7,22,1.3,240,0,0,55.4,0,0,0,235.7,0,0,3.5,0,15.3,27.6
24,1,1,7,23,1.6,230,0,0,55.4,0,0,0,233.9,0,0,3.4,0,15.3,27.6
25,1,2,1,0,1.8,230,0,0,55.4,0,0,0,233.7,0,0,3.4,0,15.3,27.6
26,1,2,1,1,1.9,230,0,0,55.4,0,0,0,233.8,0,0,3.4,0,15.3,27.6
27,1,2,1,2,2,230,0,0,55.4,0,0,0,234.1,0,0,3.4,0,15.3,27.6
28,1,2,1,3,2.1,230,0,0,55.4,0,0,0,234.1,0,0,3.4,0,15.3,27.6
29,1,2,1,4,2.2,240,0,0,55.4,0,0,0,235.9,0,0,3.4,0,15.3,27.6
30,1,2,1,5,2.3,210,0,0,96.9,0,0,0,209,0,0,3,0.1,30.3,54
31,1,2,1,6,2.4,820,0,0,286.7,0,191.4,0,630,60.5,54.1,72.8,0.1,30.3,54
32,1,2,1,7,2.6,670,0,0,490.4,0,181.8,0.4,483.3,60.5,54.1,72.8,0.2,91.5,163.1
33,1,2,1,8,2.8,370,0,0,1004.5,0,155.5,2.9,213.6,60.5,54.1,72.8,0.5,273.3,487.6
34,1,2,1,9,3,330,0,0,1021.4,0,142.2,3.8,191.3,60.5,54.1,72.8,0.5,277.7,495.6
35,1,2,1,10,2.9,330,0,0,1020.6,0,137.4,4.3,193.7,60.5,54.1,72.8,0.5,277.7,495.6
36,1,2,1,11,2.7,340,0,0,1020.5,0,133.7,4.4,203.8,60.5,54.1,72.8,0.5,277.7,495.6
37,1,2,1,12,2.6,370,0,0,1865.6,0,135.8,4.2,230.2,60.5,54.1,72.8,0.5,247.9,442.5
38,1,2,1,13,2.8,350,0,0,1219.5,0,118.8,5.2,229.4,60.5,54.1,72.8,0.5,277.7,495.6
39,1,2,1,14,2.9,350,0,0,1021.5,0,108.7,5.5,241.7,60.5,54.1,72.8,0.5,277.7,495.6
40,1,2,1,15,3.1,330,0,0,1329.4,0,95.4,5.8,239,60.5,54.1,72.8,0.5,277.7,495.6
41,1,2,1,16,3.2,350,0,0,1024.9,0,86.1,6.2,266.2,60.5,54.1,72.8,0.5,277.7,495.6
42,1,2,1,17,3.2,370,0,0,691.7,0,105.1,3.6,260.7,60.5,54.1,72.8,0.3,158.8,283.3
43,1,2,1,18,3.3,380,0,0,508.8,0,117.9,2.3,263.3,60.5,54.1,72.8,0.2,95.9,171.2
44,1,2,1,19,3.4,370,0,0,508.9,0,115.6,2.2,258.1,60.5,54.1,72.8,0.2,95.9,171.2
45,1,2,1,20,3.6,390,0,0,420.7,0,114.5,1.5,276.2,60.5,54.1,72.8,0.1,65.1,116
46,1,2,1,21,3.7,380,0,0,402.3,0,113.1,1.4,271.7,60.5,54.1,72.8,0.1,61.8,110
47,1,2,1,22,4,10,0,0,119.3,0,0,0.7,10.9,0,0,0.1,0.1,30.3,54
48,1,2,1,23,4.2,10,0,0,77.6,0,0,0.6,12.1,0,0,0.1,0,15.3,27.6
49,1,3,2,0,4.5,10,0,0,77.9,0,0,0.6,12.7,0,0,0.1,0,15.3,27.6
50,1,3,2,1,4.4,20,0,0,77.9,0,0,0.5,16.4,0,0,0.2,0,15.3,27.6
51,1,3,2,2,4.4,20,0,0,77.9,0,0,0.5,19.4,0,0,0.2,0,15.3,27.6
52,1,3,2,3,4.3,30,0,0,77.9,0,0,0.5,27.6,0,0,0.5,0,15.3,27.6
53,1,3,2,4,4.3,30,0,0,78,0,0,0.5,34.6,0,0,0.5,0,15.3,27.6
54,1,3,2,5,4.2,30,0,0,119.8,0,0,0.6,33.5,0,0,0.5,0.1,30.3,54
55,1,3,2,6,4.2,490,0,0,312.2,0,113.7,0.6,375.1,60.5,54.1,72.8,0.1,30.3,54
56,1,3,2,7,4.1,430,0,0,491.5,0,108.9,1.5,316.1,60.5,54.1,72.8,0.2,91.5,163.1
57,1,3,2,8,4.1,350,0,0,1005.9,0,78.5,6.3,274.7,60.5,54.1,72.8,0.5,273.3,487.6
